Name
1000 Genomes 30x on GRCh38
Human Genome Structural Variation Consortium, Phase 21000
Genomes on GRCh381000
Genomes phase 3 release
1000 Genomes phase 1 release
The Human Genome Structural Variation Consortium
Human Genome Diversity Project
Simons Genome Diversity Project
Gambian Genome Variation Project (GRCh38)
Gambian Genome Variation Project (GRCh37)
Geuvadis
Illumina Platinum pedigree
90 Han Chinese high coverage genomes
HGDP Transcriptome
Human Genome Structural Variation Consortium, Phase 3
